xrp_mxn,Porcentage,Time
8.25,0.0,08:11:54
8.25,0.0,08:12:27
8.24,-0.12121212,08:13:00
8.24,0.0,08:13:34
8.24,0.0,08:14:07
8.24,0.0,08:14:41
8.24,0.0,08:15:13
8.23,-0.12135922,08:15:47
8.23,0.0,08:16:21
8.23,0.0,08:16:54
8.23,0.0,08:17:27
8.23,0.0,08:18:01
8.23,0.0,08:18:34
8.23,0.0,08:19:07
8.23,0.0,08:19:41
8.23,0.0,08:20:14
8.23,0.0,08:20:47
8.14,-1.09356015,08:21:21
8.14,0.0,08:21:54
8.14,0.0,08:22:27
8.14,0.0,08:23:01
8.14,0.0,08:23:34
8.13,-0.12285012,08:24:08
8.23,1.2300123,08:24:41
8.14,-1.09356015,08:25:15
8.14,0.0,08:25:48
8.14,0.0,08:26:22
8.14,0.0,08:26:55
8.23,1.10565111,08:27:29
8.14,-1.09356015,08:28:02
8.14,0.0,08:28:35
8.14,0.0,08:29:08
8.14,0.0,08:29:42
8.14,0.0,08:30:15
8.18,0.49140049,08:30:49
8.18,0.0,08:31:21
8.23,0.61124694,08:31:55
8.23,0.0,08:32:28
8.23,0.0,08:33:01
8.23,0.0,08:33:35
8.15,-0.97205346,08:34:08
8.15,0.0,08:34:41
8.24,1.10429448,08:35:14
8.24,0.0,08:35:47
8.16,-0.97087379,08:36:21
8.15,-0.12254902,08:36:54
8.15,0.0,08:37:27
8.15,0.0,08:38:01
8.15,0.0,08:38:34
8.15,0.0,08:39:08
8.15,0.0,08:39:41
8.15,0.0,08:40:14
8.15,0.0,08:40:48
8.15,0.0,08:41:21
8.15,0.0,08:41:54
8.15,0.0,08:42:29
8.24,1.10429448,08:43:02
8.24,0.0,08:43:35
8.24,0.0,08:44:09
8.24,0.0,08:44:42
8.25,0.12135922,08:45:15
8.25,0.0,08:45:49
8.25,0.0,08:46:22
8.25,0.0,08:46:55
8.26,0.12121212,08:47:29
8.29,0.36319613,08:48:02
8.29,0.0,08:48:35
8.24,-0.60313631,08:49:09
8.24,0.0,08:49:42
8.24,0.0,08:50:16
8.24,0.0,08:50:49
8.28,0.48543689,08:51:22
8.28,0.0,08:51:55
8.28,0.0,08:52:29
8.28,0.0,08:53:02
8.28,0.0,08:53:35
8.28,0.0,08:54:08
8.3,0.24154589,08:54:42
8.3,0.0,08:55:15
8.3,0.0,08:55:48
8.3,0.0,08:56:22
8.3,0.0,08:56:55
8.3,0.0,08:57:28
8.3,0.0,08:58:02
8.29,-0.12048193,08:58:35
8.18,-1.32689988,08:59:08
8.18,0.0,08:59:41
8.18,0.0,09:00:14
8.18,0.0,09:00:48
8.19,0.12224939,09:01:21
8.19,0.0,09:01:53
8.29,1.22100122,09:02:27
8.29,0.0,09:03:00
8.29,0.0,09:03:32
8.29,0.0,09:04:05
8.29,0.0,09:04:39
8.29,0.0,09:05:12
8.29,0.0,09:05:45
8.29,0.0,09:06:19
8.29,0.0,09:06:52
8.29,0.0,09:07:25
8.27,-0.24125452,09:07:58
8.27,0.0,09:08:32
8.27,0.0,09:09:05
8.27,0.0,09:09:43
8.27,0.0,09:10:17
8.27,0.0,09:10:50
8.27,0.0,09:11:23
8.27,0.0,09:11:57
8.27,0.0,09:12:30
8.27,0.0,09:13:03
8.27,0.0,09:13:36
8.27,0.0,09:14:09
8.27,0.0,09:14:42
8.2,-0.84643289,09:15:15
8.2,0.0,09:15:48
